species,value,variable
Vernonia_gigantea,242.96,elevation
Chresta_sphaerocephala,936.507,elevation
Albertinia_brasiliensis,419.893,elevation
Chresta_pycnocephala,839.444,elevation
Heterocypsela_andersonii,513.444,elevation
Eremanthus_erythropappus,1005.15,elevation
Centratherum_punctatum,373.558,elevation
Lychnophora_haplopappa,524.333,elevation
Lychnophora_brunioides,1003.36,elevation
Lychnophorella_santosii,939.033,elevation
Chresta_heteropappa,200,elevation
Baccharoides_anthelmintica,1061.3,elevation
Lychnophorella_morii,721.565,elevation
Chresta_subverticillata,655.375,elevation
Chresta_harleyi,794.421,elevation
Vernonia_missurica,198.273,elevation
Gymnanthemum_amygdalinum,408.231,elevation
Gorceixia_decurrens,617.889,elevation
Stilpnopappus_speciosus,646.899,elevation
Heterocoma_ekmaniana,1030.08,elevation
Piptolepis_ericoides,1005.44,elevation
Lychnophorella_leucodendron,901.9,elevation
Chresta_filicifolia,517.889,elevation
Chresta_pacourinoides,517.546,elevation
Moquinia_racemosa,959.789,elevation
Stilpnopappus_tomentosus,847.43,elevation
Maschalostachys_mellosilvae,941,elevation
Chresta_plantaginifolia,991.554,elevation
Chresta_martii,417.427,elevation
Lychnophora_hatschbachii,1041.31,elevation
Chronopappus_bifrons,1157.03,elevation
Minasia_pereirae,1133.86,elevation
Chresta_artemisiifolia,439.857,elevation
Hololepis_pedunculata,1109.98,elevation
Paralychnophora_harleyi,798.304,elevation
Chresta_speciosa,781.485,elevation
Centrapalus_pauciflorus,1009.31,elevation
Chresta_hatschbachii,640.5,elevation
Lessingianthus_durus,821.756,elevation
Lychnophora_granmogolensis,905.23,elevation
Chresta_scapigera,928.533,elevation
Lessingianthus_monocephalus,701.667,elevation
Eremanthus_auriculatus,875.091,elevation
Stokesia_laevis,185.258,elevation
Eremanthus_incanus,985.811,elevation
Chresta_exsucca,816.694,elevation
Soaresia_velutina,793.692,elevation
Munnozia_gigantea,1904.72,elevation
Vernonanthura_patens,910.618,elevation
Chresta_angustifolia,919.723,elevation
Lepidaploa_opposita,710.333,elevation
Elephantopus_tomentosus,174.733,elevation
Allocephalus_gamolepis,478.5,elevation
Vernoniastrum_ambiguum,343.836,elevation
Elephantopus_mollis,593.794,elevation
Chresta_souzae,929.708,elevation
Cyrtocymura_scorpioides,582.032,elevation
Distephanus_ambongensis,45.4,elevation
Pseudostifftia_kingii,904.472,elevation
Eremanthus_crotonoides,864.516,elevation
Chresta_curumbensis,868.856,elevation
Chresta_hatschbachii,15795.5,radiation
Chresta_speciosa,14110.9,radiation
Minasia_pereirae,14267.3,radiation
Centrapalus_pauciflorus,16344.9,radiation
Centratherum_punctatum,17819.9,radiation
Chresta_curumbensis,14123.6,radiation
Lessingianthus_monocephalus,14103.8,radiation
Vernonia_missurica,4917.91,radiation
Munnozia_gigantea,15117.5,radiation
Lychnophora_haplopappa,10305.7,radiation
Cyrtocymura_scorpioides,17302.1,radiation
Paralychnophora_harleyi,17330.3,radiation
Chresta_pacourinoides,19211.4,radiation
Heterocoma_ekmaniana,13701.8,radiation
Chresta_exsucca,14258.9,radiation
Chresta_martii,18936.1,radiation
Vernonia_gigantea,5721.87,radiation
Chresta_scapigera,14422.2,radiation
Lessingianthus_durus,14405.9,radiation
Lychnophora_hatschbachii,13735.1,radiation
Eremanthus_incanus,15265.9,radiation
Chresta_sphaerocephala,14941.4,radiation
Gorceixia_decurrens,15726.8,radiation
Distephanus_ambongensis,18855.2,radiation
Chresta_subverticillata,15151.1,radiation
Stokesia_laevis,8308.46,radiation
Heterocypsela_andersonii,13695.6,radiation
Eremanthus_auriculatus,12903.9,radiation
Lychnophora_granmogolensis,16264.3,radiation
Chresta_filicifolia,13691.1,radiation
Piptolepis_ericoides,14560.4,radiation
Eremanthus_crotonoides,14851.6,radiation
Lychnophorella_morii,16864.4,radiation
Allocephalus_gamolepis,12814,radiation
Gymnanthemum_amygdalinum,15369.1,radiation
Lychnophorella_santosii,17299.1,radiation
Chresta_plantaginifolia,14780.4,radiation
Vernonanthura_patens,14899.8,radiation
Moquinia_racemosa,15523.8,radiation
Elephantopus_tomentosus,7899.52,radiation
Chronopappus_bifrons,14115,radiation
Lychnophora_brunioides,13911,radiation
Lychnophorella_leucodendron,16920.3,radiation
Chresta_souzae,13646.3,radiation
Chresta_angustifolia,13986.7,radiation
Soaresia_velutina,13928.6,radiation
Pseudostifftia_kingii,17110.1,radiation
Stilpnopappus_tomentosus,17388.3,radiation
Lepidaploa_opposita,14292.2,radiation
Elephantopus_mollis,15444.3,radiation
Chresta_harleyi,16740.1,radiation
Maschalostachys_mellosilvae,15653.3,radiation
Baccharoides_anthelmintica,17056.2,radiation
Stilpnopappus_speciosus,14473.5,radiation
Vernoniastrum_ambiguum,17046.8,radiation
Chresta_heteropappa,14957.2,radiation
Chresta_artemisiifolia,15648.6,radiation
Eremanthus_erythropappus,15119.5,radiation
Hololepis_pedunculata,14585.2,radiation
Chresta_pycnocephala,14623.4,radiation
Albertinia_brasiliensis,18022.7,radiation
