species,pericycle,cortex,primary_phloem,secondary_phloem,primary_xylem,secondary_xylem,pith,FTM
Heterocypsela_andersonii,a,a,a,a,a,a,a,a
Vernonanthura_patens,a,a,a,a,a,a,a,a
Vernonia_gigantea,a,a,a,a,a,a,a,a
Vernonia_missurica,a,a,a,a,a,a,a,a
Chresta_martii,a,a,a,a,a,a,a,a
Chresta_pycnocephala,a,a,a,-99,a,a,a,a
Chresta_angustifolia,a,a,a,a,a,a,a,a
Chresta_filicifolia,a,a,a,a,a,a,a,a
Chresta_pacourinoides,a,a,a,a,a,a,a,a
Cyrtocymura_scorpioides,a,a,a,a,a,a,a,a
Lepidaploa_opposita,a,-99,a,a,a,a,a,a
Lessingianthus_durus,a,a,a,a,a,a,a,a
Lessingianthus_monocephalus,a,a,a,a,a,a,a,a
Elephantopus_mollis,a,a,a,a,a,a,a,a
Soaresia_velutina,a,a,a,a,a,a,a,a
Stilpnopappus_tomentosus,a,a,a,a,a,a,a,a
Strophopappus_speciosus,a,a,a,a,a,a,a,a
Centratherum_punctatum,a,a,a,a,a,a,a,a
Albertinia_brasiliensis,a,b,a,b,a,a,b,b
Gorceixia_decurrens,a,a,b,b,a,a,b,-99
Eremanthus_crotonoides,a,a,a,b,a,a,b,b
Hololepis_pedunculata,b,b,b,b,a,a,b,b
Heterocoma_ekmaniana,a,b,a,a,a,a,b,b
Chronopappus_bifrons,a,a,a,a,a,a,b,b
Maschalostachys_mellosilvae,a,b,a,a,a,a,a,b
Paralychnophora_harleyi,b,b,-99,b,a,b,b,b
Minasia_pereirae,b,b,a,a,a,a,b,b
Piptolepis_ericoides,a,b,a,b,a,a,a,b
Lychnophorella_morii,a,a,a,b,a,a,a,b
Lychnophora_salicifolia,b,b,a,b,a,-99,b,b
Lychnophora_haplopappa,b,b,b,b,a,a,b,b
Lychnophora_hatschbachii,a,b,a,b,a,a,b,b
Lychnophorella_santosii,b,b,a,b,-99,a,b,b
Lychnophorella_leucodendron,a,b,a,b,a,a,b,b
Eremanthus_erythropappus,b,b,a,b,a,a,b,b
Eremanthus_incanus,a,b,b,b,a,a,b,b
Eremanthus_auriculatus,a,a,a,b,a,a,b,b
Lychnophora_brunioides,a,a,a,a,a,a,a,a
Allocephalus_gamolepis,a,a,a,a,-99,a,a,a
Stokesia_laevis,a,a,a,a,a,a,a,a
Gymnanthemum_amygdalinum,a,a,a,a,a,a,a,a
Baccharoides_anthelmintica,a,a,a,a,a,a,a,a
Moquinia_recemosa,a,a,a,a,a,a,b,b
Pseudostiffita_kingii,a,a,a,a,a,a,a,a
